﻿﻿﻿﻿﻿﻿﻿inDate,inTime,10D1438000371PV-5000W-V 10D1438000371,10D1438000369PV-5000W-V 10D1438000369,10D1438000372PV-5000W-V 10D1438000372,10D1438000373PV-5000W-V 10D1438000373,10D1438000374PV-5000W-V 10D1438000374
2017-10-12,00:00:00,0,0,0,0,0
2017-10-12,00:20:00,0,0,0,0,0
2017-10-12,00:40:00,0,0,0,0,0
2017-10-12,01:00:00,0,0,0,0,0
2017-10-12,01:20:00,0,0,0,0,0
2017-10-12,01:40:00,0,0,0,0,0
2017-10-12,02:00:00,0,0,0,0,0
2017-10-12,02:20:00,0,0,0,0,0
2017-10-12,02:40:00,0,0,0,0,0
2017-10-12,03:00:00,0,0,0,0,0
2017-10-12,03:20:00,0,0,0,0,0
2017-10-12,03:40:00,0,0,0,0,0
2017-10-12,04:00:00,0,0,0,0,0
2017-10-12,04:20:00,0,0,0,0,0
2017-10-12,04:40:00,0,0,0,0,0
2017-10-12,05:00:00,0,0,0,0,0
2017-10-12,05:20:00,0,0,0,0,0
2017-10-12,05:40:00,0,0,0,0,0
2017-10-12,06:00:00,0,0,0,0,0
2017-10-12,06:20:00,0,0,0,0,0
2017-10-12,06:40:00,0,0,0,0,0
2017-10-12,07:00:00,0,0,0,0,0
2017-10-12,07:20:00,0,0,0,0,0
2017-10-12,07:40:00,0,0,0,0,0
2017-10-12,08:00:00,0,0,0,0,0
2017-10-12,08:20:00,0,0,0,0,0
2017-10-12,08:40:00,0,0,0,0,0
2017-10-12,09:00:00,0,0,0,0,0
2017-10-12,09:20:00,0,0,0,0,0
2017-10-12,09:40:00,0,0,0,0,0
2017-10-12,10:00:00,0,0,0,0,0
2017-10-12,10:20:00,0,0,0,0,0
2017-10-12,10:40:00,0,0,0,0,0
2017-10-12,11:00:00,0,0,0,0,0
2017-10-12,11:20:00,0,0,0,0,0
2017-10-12,11:40:00,0,0,0,0,0
2017-10-12,12:00:00,0,0,0,0,0
2017-10-12,12:20:00,0,0,0,0,0
2017-10-12,12:40:00,0,0,0,0,0
2017-10-12,13:00:00,0,0,0,0,0
2017-10-12,13:20:00,0,0,0,0,0
2017-10-12,13:40:00,0,0,0,0,0
2017-10-12,14:00:00,0,0,0,0,0
2017-10-12,14:20:00,0,0,0,0,0
2017-10-12,14:40:00,0,0,0,0,0
2017-10-12,15:00:00,0,0,0,0,0
2017-10-12,15:20:00,0,0,0,0,0
2017-10-12,15:40:00,0,0,0,0,0
2017-10-12,16:00:00,0,0,0,0,0
2017-10-12,16:20:00,0,0,0,0,0
2017-10-12,16:40:00,0,0,0,0,0
2017-10-12,17:00:00,0,0,0,0,0
2017-10-12,17:20:00,0,0,0,0,0
2017-10-12,17:40:00,0,0,0,0,0
2017-10-12,18:00:00,0,0,0,0,0
2017-10-12,18:20:00,0,0,0,0,0
2017-10-12,18:40:00,0,0,0,0,0
2017-10-12,19:00:00,0,0,0,0,0
2017-10-12,19:20:00,0,0,0,0,0
2017-10-12,19:40:00,0,0,0,0,0
2017-10-12,20:00:00,0,0,0,0,0
2017-10-12,20:20:00,0,0,0,0,0
2017-10-12,20:40:00,0,0,0,0,0
2017-10-12,21:00:00,0,0,0,0,0
2017-10-12,21:20:00,0,0,0,0,0
2017-10-12,21:40:00,0,0,0,0,0
2017-10-12,22:00:00,0,0,0,0,0
2017-10-12,22:20:00,0,0,0,0,0
2017-10-12,22:40:00,0,0,0,0,0
2017-10-12,23:00:00,0,0,0,0,0
2017-10-12,23:20:00,0,0,0,0,0
2017-10-12,23:40:00,0,0,0,0,0
